activation,dropout,init,lr,lr_reg,n_layers,opt,reg,units1,loss
relu, 0, random_uniform, 0.0001, 1e-05, 4, Adam, l1, 128, 91.1044
relu, 0.1, random_normal, 0.01, 1e-05, 2, SGD, l1l2, 128, 77.7494
relu, 0.3, random_normal, 0.001, 1e-05, 2, RMSprop, l2, 128, 35.1342
relu, 0.3, random_uniform, 0.001, 1e-05, 1, RMSprop, l2, 128, 35.8609
relu, 0.3, random_normal, 0.001, 1e-05, 4, RMSprop, l1l2, 128, 81.157
relu, 0.3, random_normal, 0.001, 1e-05, 2, RMSprop, l1, 128, 36.062
relu, 0.3, random_normal, 0.001, 1e-05, 1, RMSprop, l2, 128, 35.2024
relu, 0.3, random_uniform, 0.001, 1e-05, 1, RMSprop, l2, 128, 35.6972
relu, 0.3, random_normal, 0.001, 1e-05, 1, RMSprop, l1l2, 128, 60.0707
relu, 0.3, random_normal, 0.001, 0.001, 1, RMSprop, l2, 128, 37.7624
relu, 0.3, random_normal, 0.001, 1e-05, 1, RMSprop, l1, 128, 34.5968
relu, 0.3, random_uniform, 0.001, 0.01, 1, RMSprop, l1, 128, 91.1044
relu, 0.3, random_normal, 0.001, 1e-05, 1, RMSprop, l1, 128, 35.5797
relu, 0.3, random_normal, 0.001, 0.001, 1, Adam, l1, 32, 91.1044
relu, 0.3, random_normal, 0.001, 1e-05, 1, RMSprop, l1, 128, 35.455
relu, 0.7, random_normal, 0.001, 1e-05, 1, RMSprop, l1, 128, 39.2588
relu, 0, random_normal, 0.001, 0.01, 1, Adamgrad, l1, 128, 91.1044
relu, 0.3, random_uniform, 0.001, 0.001, 4, Adam, l1, 32, 91.1044
relu, 0.5, random_normal, 0.0001, 1e-05, 1, RMSprop, l1l2, 128, 59.5293
relu, 0.3, random_normal, 0.001, 1e-05, 1, RMSprop, l1, 128, 35.7197
relu, 0.7, random_normal, 0.001, 1e-05, 4, RMSprop, l1, 32, 81.8928
relu, 0.5, random_normal, 0.001, 0.01, 1, Adam, l1l2, 128, 91.1044
relu, 0.3, random_uniform, 0.0001, 0.001, 1, Adamgrad, l1, 128, 91.1044
relu, 0.3, random_normal, 0.001, 1e-05, 1, RMSprop, l2, 128, 34.908
relu, 0.3, random_normal, 0.001, 1e-05, 1, RMSprop, l2, 128, 34.3834
relu, 0.3, random_normal, 0.001, 1e-05, 1, RMSprop, l2, 128, 36.0903
relu, 0.3, random_normal, 0.001, 1e-05, 1, RMSprop, l2, 128, 35.1106
relu, 0.3, random_normal, 0.001, 1e-05, 1, RMSprop, l2, 128, 35.6242
relu, 0, random_normal, 0.001, 1e-05, 1, RMSprop, l2, 128, 35.242
relu, 0.3, random_normal, 0.001, 1e-05, 1, RMSprop, l2, 128, 37.1338
relu, 0.3, random_normal, 0.001, 1e-05, 1, RMSprop, l1, 128, 37.4369
relu, 0.5, random_normal, 0.001, 1e-05, 1, RMSprop, l2, 32, 53.2765
relu, 0.7, random_normal, 0.0001, 0.01, 1, Adamgrad, l1l2, 128, 91.1044
relu, 0.3, random_normal, 0.001, 1e-05, 1, Adam, l2, 128, 91.1044
relu, 0, random_normal, 0.001, 0.001, 1, RMSprop, l1, 128, 58.642
relu, 0.3, random_normal, 0.001, 1e-05, 1, RMSprop, l2, 32, 38.2742
relu, 0.3, random_normal, 0.0001, 1e-05, 1, RMSprop, l2, 128, 38.7929
relu, 0.3, random_normal, 0.001, 1e-05, 1, Adamgrad, l1l2, 128, 91.1044
